id,title,count
27102,都島区,131
27103,福島区,72
27104,此花区,12
27106,西区,255
27107,港区,46
27108,大正区,34
27109,天王寺区,116
27111,浪速区,185
27113,西淀川区,73
27114,東淀川区,150
27115,東成区,69
27116,生野区,90
27117,旭区,76
27118,城東区,113
27119,阿倍野区,81
27120,住吉区,76
27121,東住吉区,68
27122,西成区,71
27123,淀川区,400
27124,鶴見区,64
27125,住之江区,88
27126,平野区,119
27127,北区,596
27128,中央区,868
27141,堺区,194
27142,中区,113
27143,東区,103
27144,西区,89
27145,南区,31
27146,北区,102
27147,美原区,42
27202,岸和田市,76
27203,豊中市,247
27204,池田市,32
27205,吹田市,204
27206,泉大津市,54
27207,高槻市,81
27208,貝塚市,41
27209,守口市,234
27210,枚方市,249
27211,茨木市,80
27212,八尾市,85
27213,泉佐野市,86
27214,富田林市,33
27215,寝屋川市,205
27216,河内長野市,48
27217,松原市,56
27218,大東市,71
27219,和泉市,107
27220,箕面市,68
27221,柏原市,74
27222,羽曳野市,82
27223,門真市,125
27224,摂津市,34
27225,高石市,37
27226,藤井寺市,38
27227,東大阪市,389
27228,泉南市,41
27229,四條畷市,25
27230,交野市,40
27231,大阪狭山市,43
27232,阪南市,21
27301,三島郡　島本町,0
27321,豊能郡　豊能町,0
27322,豊能郡　能勢町,1
27341,泉北郡　忠岡町,16
27361,泉南郡　熊取町,23
27362,泉南郡　田尻町,2
27366,泉南郡　岬町,3
27381,南河内郡　太子町,2
27382,南河内郡　河南町,5
27383,南河内郡　千早赤阪村,0
